,Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
38,Kimberli Severs,9/19/2011,9/19/2022,September,Monday,7
39,Maribeth Blumson,8/27/2014,8/27/2022,August,Friday,24
40,Arabele Rosenauer,10/26/2012,10/26/2022,October,Wednesday,13
41,Madison Cominetti,7/17/2014,7/17/2022,July,Friday,49
42,Verina Knoton,4/4/2014,4/4/2022,April,Monday,10
43,Wolfgang Clubbe,4/20/2014,4/20/2022,April,Wednesday,12
44,Davin Mazdon,7/10/2015,7/10/2022,July,Friday,49
45,Constantina McIlwaine,8/26/2014,8/26/2022,August,Friday,24
46,Sayre Merredy,10/24/2014,10/24/2022,October,Monday,14
47,Rodrick Jeannot,10/19/2013,10/19/2022,October,Wednesday,13
48,Kain Guerre,8/10/2015,8/10/2022,August,Wednesday,10
49,Blinni Fieldstone,11/17/2013,11/17/2022,November,Thursday,13
50,Annabell Goscomb,11/10/2013,11/10/2022,November,Thursday,13
51,Clayborn Benazet,11/21/2014,11/21/2022,November,Monday,11
52,Mahala Henze,9/15/2014,9/15/2022,September,Thursday,14
53,Lanette Berzen,11/18/2011,11/18/2022,November,Friday,39
54,Keefer Ruckhard,4/2/2013,4/2/2022,April,Friday,55
55,Merrili Truelock,11/27/2013,11/27/2022,November,Friday,39
56,Joete Goutcher,1/6/2015,1/6/2022,January,Thursday,6
57,Miguelita Palfreman,2/17/2012,2/17/2022,February,Thursday,12
58,Ossie Mattes,5/15/2012,5/15/2022,May,Friday,31
59,Bear Vernay,5/21/2014,5/21/2022,May,Friday,31
60,Teodor Wragge,8/14/2015,8/14/2022,August,Friday,24
61,Daisie Whitelaw,1/17/2014,1/17/2022,January,Monday,14
62,Emlynne Littley,2/5/2015,2/5/2022,February,Friday,31
63,Britni Walsh,7/12/2012,7/12/2022,July,Tuesday,12
64,Marys Inseal,11/16/2012,11/16/2022,November,Wednesday,17
65,Paxton Massow,2/11/2014,2/11/2022,February,Friday,31
66,Kerby Scain,10/30/2012,10/30/2022,October,Friday,32
67,Johnathan Lamplough,9/25/2013,9/25/2022,September,Friday,36
68,Jeni Donald,6/7/2013,6/7/2022,June,Tuesday,11
69,Sylvia Abrahamsohn,11/15/2012,11/15/2022,November,Tuesday,12
70,Cinnamon Stoyle,1/16/2012,1/16/2022,January,Friday,33
71,Issi Amey,10/20/2012,10/20/2022,October,Thursday,14
72,Brion Letson,12/7/2012,12/7/2022,December,Wednesday,9
73,Nappie Sire,11/10/2011,11/10/2022,November,Thursday,13
74,Pattie Chapelle,12/19/2011,12/19/2022,December,Monday,20
75,Brynna Armit,8/12/2012,8/12/2022,August,Friday,24
76,Gauthier Bruinsma,9/23/2013,9/23/2022,September,Friday,36
77,Pren Gudgeon,9/24/2013,9/24/2022,September,Friday,36
78,Wyn Husthwaite,5/11/2014,5/11/2022,May,Wednesday,8
79,Allianora Padrick,12/7/2011,12/7/2022,December,Wednesday,9
80,Malena Bennough,4/20/2013,4/20/2022,April,Wednesday,12
81,Jarret Winscom,3/5/2013,3/5/2022,March,Friday,31
82,Ree Salmen,11/14/2013,11/14/2022,November,Monday,11
83,Hope Dommerque,9/13/2014,9/13/2022,September,Tuesday,12
84,Guillermo Trowle,6/24/2013,6/24/2022,June,Friday,30
85,Tibold Cottingham,9/3/2013,9/3/2022,September,Friday,36
86,Cecilia Poxton,12/20/2013,12/20/2022,December,Tuesday,8
87,Arri Sleney,11/23/2013,11/23/2022,November,Wednesday,17
88,Regina Isenor,10/16/2011,10/16/2022,October,Friday,32
89,Annalise Roll,7/4/2012,7/4/2022,July,Monday,11
90,Othello Blyth,7/19/2014,7/19/2022,July,Tuesday,12
91,Ave Heyball,5/1/2012,5/1/2022,May,Friday,31
92,Friederike Civitillo,6/24/2015,6/24/2022,June,Friday,30
93,Hayley Rizzini,4/26/2014,4/26/2022,April,Tuesday,4
94,Blakelee Monery,12/4/2013,12/4/2022,December,Friday,45
95,Jacenta Cowton,6/18/2013,6/18/2022,June,Friday,30
96,Karlyn Westmoreland,6/10/2015,6/10/2022,June,Friday,30
97,Yancey Bachellier,2/1/2015,2/1/2022,February,Tuesday,13
98,Nerte Lissandrini,12/9/2011,12/9/2022,December,Friday,45
99,Dorolice Crosthwaite,1/6/2015,1/6/2022,January,Thursday,6
100,Brantley Thorley,3/2/2012,3/2/2022,March,Wednesday,6
101,Robin Cypler,1/31/2015,1/31/2022,January,Monday,14
102,Phillie Allsepp,6/29/2012,6/29/2022,June,Wednesday,15
103,Toddie Artz,7/9/2013,7/9/2022,July,Friday,49
104,Marje Antoshin,12/26/2014,12/26/2022,December,Monday,20
105,Rochella Blazdell,3/31/2015,3/31/2022,March,Thursday,19
106,Aryn Thursfield,2/25/2015,2/25/2022,February,Friday,31
107,Isaiah Antowski,1/12/2014,1/12/2022,January,Wednesday,14
108,Helli Owbridge,8/5/2014,8/5/2022,August,Friday,24
109,Hadrian Scourgie,3/20/2012,3/20/2022,March,Friday,31
110,Toddie Nanetti,10/4/2013,10/4/2022,October,Tuesday,9
111,Inger Sugar,11/25/2011,11/25/2022,November,Friday,39
112,Lezlie Meyer,3/19/2015,3/19/2022,March,Friday,31
113,Rowland Krinks,12/22/2014,12/22/2022,December,Thursday,20
114,Fair Baumber,9/13/2011,9/13/2022,September,Tuesday,12
115,Ekaterina Graver,10/17/2013,10/17/2022,October,Monday,14
116,Farris Spear,3/3/2014,3/3/2022,March,Thursday,19
117,Shanie Croisier,2/9/2014,2/9/2022,February,Wednesday,8
118,Fredric Skerme,3/12/2012,3/12/2022,March,Friday,31
119,Christoph Udall,10/15/2011,10/15/2022,October,Friday,32
120,Jared Koba,1/15/2012,1/15/2022,January,Friday,33
121,Lucina Gouley,2/16/2014,2/16/2022,February,Wednesday,8
122,Milka Fosbraey,10/30/2011,10/30/2022,October,Friday,32
123,Iseabal Aldwinckle,3/8/2013,3/8/2022,March,Tuesday,13
124,Colet Featherstonehaugh,7/7/2012,7/7/2022,July,Thursday,12
125,Jewelle Skaif,1/19/2015,1/19/2022,January,Wednesday,14
126,Brose Plumridge,12/30/2012,12/30/2022,December,Friday,45
127,Dotty Oldknow,12/22/2013,12/22/2022,December,Thursday,20
128,Stacy Conneely,10/13/2013,10/13/2022,October,Thursday,14
129,Iona Ballister,6/20/2014,6/20/2022,June,Monday,9
130,Windy Curgenuer,10/28/2013,10/28/2022,October,Friday,32
131,Kienan Echalie,12/19/2014,12/19/2022,December,Monday,20
132,Nollie Curley,11/29/2013,11/29/2022,November,Tuesday,12
133,Joelle McGrory,6/23/2012,6/23/2022,June,Thursday,12
134,Pooh Schmidt,6/5/2012,6/5/2022,June,Friday,30
135,Coral Phelipeaux,1/4/2012,1/4/2022,January,Tuesday,12
136,Gifford McKeachie,11/21/2014,11/21/2022,November,Monday,11
137,Orelee Videan,10/5/2013,10/5/2022,October,Wednesday,13
138,Toiboid Scamerden,11/5/2013,11/5/2022,November,Friday,39
139,Shirline Longstaff,7/13/2013,7/13/2022,July,Wednesday,19
140,Hurley D'Alessandro,1/16/2014,1/16/2022,January,Friday,33
141,Orelia Di Domenico,11/7/2014,11/7/2022,November,Monday,11
142,Glynda O'Corrin,2/14/2013,2/14/2022,February,Monday,12
143,Bailie Caraher,10/5/2013,10/5/2022,October,Wednesday,13
144,Elizabeth Pattenden,6/7/2013,6/7/2022,June,Tuesday,11
145,Florian Lardnar,8/4/2014,8/4/2022,August,Thursday,10
146,Chantal Caherny,11/20/2012,11/20/2022,November,Friday,39
147,Sasha McMenamin,4/23/2012,4/23/2022,April,Friday,55
148,Ivar Verbeek,12/26/2011,12/26/2022,December,Monday,20
149,Jamaal Challicombe,4/2/2013,4/2/2022,April,Friday,55
150,Cello Milnes,3/8/2013,3/8/2022,March,Tuesday,13
151,Leese Leinster,11/5/2012,11/5/2022,November,Friday,39
152,Aleece Bernardet,1/9/2015,1/9/2022,January,Friday,33
153,Archibaldo Penwell,7/15/2012,7/15/2022,July,Friday,49
154,Berkly Dodding,10/14/2014,10/14/2022,October,Friday,32
155,Ynez Stive,5/18/2015,5/18/2022,May,Wednesday,8
156,Francene Ebbin,9/16/2012,9/16/2022,September,Friday,36
157,Ilise Bowring,11/12/2011,11/12/2022,November,Friday,39
158,Clo Knoton,4/25/2014,4/25/2022,April,Monday,10
159,Guthrie Valti,5/6/2014,5/6/2022,May,Friday,31
160,Stacey Whartonby,2/5/2013,2/5/2022,February,Friday,31
161,Ernesta Siggers,7/4/2015,7/4/2022,July,Monday,11
162,Denice Espinet,5/5/2013,5/5/2022,May,Thursday,12
163,Antin Luesley,4/17/2012,4/17/2022,April,Friday,55
164,Alon Brash,9/23/2011,9/23/2022,September,Friday,36
165,Harlen Penke,8/4/2014,8/4/2022,August,Thursday,10
166,Pyotr Anten,1/6/2012,1/6/2022,January,Thursday,6
167,Sean Skelton,10/3/2011,10/3/2022,October,Monday,14
168,Cary Johanssen,7/19/2013,7/19/2022,July,Tuesday,12
169,Yuri Keywood,11/10/2013,11/10/2022,November,Thursday,13
170,Ronnie Narducci,2/1/2015,2/1/2022,February,Tuesday,13
171,Chucho Longmore,4/15/2013,4/15/2022,April,Friday,55
172,Caleb Kupka,3/15/2014,3/15/2022,March,Tuesday,13
173,Robbin Harmant,1/10/2015,1/10/2022,January,Monday,14
174,Gaylor Shotboult,2/3/2014,2/3/2022,February,Thursday,12
175,Lamont Tolefree,8/17/2012,8/17/2022,August,Wednesday,10
176,Wood Upjohn,6/7/2012,6/7/2022,June,Tuesday,11
177,Brady Seeds,8/15/2012,8/15/2022,August,Monday,12
178,Selma Litherborough,3/20/2014,3/20/2022,March,Friday,31
179,Carly Peasee,7/5/2014,7/5/2022,July,Tuesday,12
180,Rose Artinstall,5/29/2014,5/29/2022,May,Friday,31
181,Hi Oleksiak,6/6/2013,6/6/2022,June,Monday,9
182,Berti Smardon,3/26/2014,3/26/2022,March,Friday,31
183,Lorraine Halbard,7/20/2013,7/20/2022,July,Wednesday,19
184,Aldis Sherewood,8/21/2013,8/21/2022,August,Friday,24
185,Rabbi McGourty,6/16/2013,6/16/2022,June,Thursday,12
186,Julietta Layson,5/20/2014,5/20/2022,May,Friday,31
187,Graehme Ditch,4/7/2015,4/7/2022,April,Thursday,11
188,Benetta Zanussii,7/30/2012,7/30/2022,July,Friday,49
189,Pandora Seelbach,5/20/2014,5/20/2022,May,Friday,31
190,Hatty Crotty,9/22/2013,9/22/2022,September,Thursday,14
191,Tessa Pogue,6/23/2015,6/23/2022,June,Thursday,12
192,Grantley Doogan,7/2/2014,7/2/2022,July,Friday,49
193,Sunny Lanning,12/28/2014,12/28/2022,December,Wednesday,9
194,L;urette Applegarth,9/10/2012,9/10/2022,September,Friday,36
195,Wendy Oscroft,1/3/2015,1/3/2022,January,Monday,14
196,Ev Baldack,4/23/2015,4/23/2022,April,Friday,55
197,Jania Pesek,4/8/2012,4/8/2022,April,Friday,55
198,Kelley Shenton,12/31/2012,12/31/2022,December,Friday,45
199,Doralynne Sekulla,3/14/2015,3/14/2022,March,Monday,8
200,Price Harrald,3/30/2013,3/30/2022,March,Wednesday,6
201,Allen Welburn,11/5/2014,11/5/2022,November,Friday,39
202,Merwin Doag,4/29/2015,4/29/2022,April,Friday,55
203,Jeannette Symonds,10/23/2012,10/23/2022,October,Friday,32
204,Valaree Heckner,4/30/2012,4/30/2022,April,Friday,55
205,Gussie Palmar,5/21/2014,5/21/2022,May,Friday,31
206,Yehudi Beggan,10/19/2013,10/19/2022,October,Wednesday,13
207,Drusilla Tuson,10/14/2014,10/14/2022,October,Friday,32
208,Alanah Dowtry,8/25/2014,8/25/2022,August,Thursday,10
209,Kathlin Cobleigh,2/26/2015,2/26/2022,February,Friday,31
210,Layne Curston,12/29/2013,12/29/2022,December,Thursday,20
211,Idell Shropshire,5/2/2015,5/2/2022,May,Monday,7
212,Kimbra Whelan,10/25/2013,10/25/2022,October,Tuesday,9
213,Nadean Godsell,2/27/2013,2/27/2022,February,Friday,31
214,Katinka Liger,1/25/2013,1/25/2022,January,Tuesday,12
215,Fallon Kettles,6/24/2013,6/24/2022,June,Friday,30
216,Tally Powland,7/2/2015,7/2/2022,July,Friday,49
217,Nolan Jerosch,10/31/2014,10/31/2022,October,Monday,14
218,Viva Yukhnini,12/4/2011,12/4/2022,December,Friday,45
219,Nevile Jurewicz,3/25/2014,3/25/2022,March,Friday,31
220,Brand Kaes,3/24/2014,3/24/2022,March,Thursday,19
221,Celine De la Yglesia,1/13/2012,1/13/2022,January,Thursday,6
222,Adrian Snary,7/22/2013,7/22/2022,July,Friday,49
223,Anny Casterot,1/26/2015,1/26/2022,January,Wednesday,14
224,Jacques Cosins,2/1/2012,2/1/2022,February,Tuesday,13
225,Lauretta Greenhalf,9/8/2013,9/8/2022,September,Thursday,14
226,Ettie Condie,10/23/2012,10/23/2022,October,Friday,32
227,Tailor Fellows,7/26/2012,7/26/2022,July,Tuesday,12
228,Iago Szimon,8/31/2014,8/31/2022,August,Wednesday,10
229,Howard Kittow,4/9/2014,4/9/2022,April,Friday,55
230,Smith Okenden,12/31/2012,12/31/2022,December,Friday,45
231,West Kibby,11/20/2013,11/20/2022,November,Friday,39
232,Perren Randalston,9/3/2013,9/3/2022,September,Friday,36
233,Garnette Chiese,3/28/2014,3/28/2022,March,Monday,8
234,Mace Huntingdon,5/17/2012,5/17/2022,May,Tuesday,15
235,Konstantine Parysowna,6/1/2015,6/1/2022,June,Wednesday,15
236,Cristina Oseman,3/28/2012,3/28/2022,March,Monday,8
237,Finley McClements,8/18/2013,8/18/2022,August,Thursday,10
238,Vic Barends,9/24/2014,9/24/2022,September,Friday,36
239,Bartholomew Coyle,10/14/2011,10/14/2022,October,Friday,32
240,Krystal Dunlea,5/29/2012,5/29/2022,May,Friday,31
241,Mireielle Lundy,7/19/2014,7/19/2022,July,Tuesday,12
242,Sharla Almond,11/16/2011,11/16/2022,November,Wednesday,17
243,Sibeal Templeton,7/22/2012,7/22/2022,July,Friday,49
244,Pearce Clayworth,3/19/2012,3/19/2022,March,Friday,31
245,Sheelah Greder,11/29/2012,11/29/2022,November,Tuesday,12
246,Joly Wybrow,1/8/2015,1/8/2022,January,Friday,33
247,Bondon Antonazzi,2/9/2012,2/9/2022,February,Wednesday,8
248,Gwen Biglin,1/18/2012,1/18/2022,January,Tuesday,12
249,Kip Blowen,7/19/2015,7/19/2022,July,Tuesday,12
250,Moises Orrocks,11/30/2012,11/30/2022,November,Wednesday,17
251,Norbie Shoveller,12/18/2012,12/18/2022,December,Friday,45
252,Matty Piperley,6/14/2014,6/14/2022,June,Tuesday,11
253,Wileen Scamadine,2/15/2015,2/15/2022,February,Tuesday,13
254,Armstrong Batiste,4/15/2012,4/15/2022,April,Friday,55
255,Daisey Blanning,11/27/2012,11/27/2022,November,Friday,39
256,Jammal Ouchterlony,2/24/2015,2/24/2022,February,Thursday,12
257,Cynthea Whittier,11/4/2014,11/4/2022,November,Friday,39
258,Templeton Reynard,12/19/2014,12/19/2022,December,Monday,20
259,Baron Sarre,12/30/2014,12/30/2022,December,Friday,45
260,Rex Adds,12/26/2014,12/26/2022,December,Monday,20
261,Oberon Pollie,9/22/2011,9/22/2022,September,Thursday,14
262,Dorita Messitt,3/17/2015,3/17/2022,March,Thursday,19
263,Floria Kitlee,7/6/2012,7/6/2022,July,Wednesday,19
264,James Bartles,1/12/2012,1/12/2022,January,Wednesday,14
265,Jay Yashaev,1/31/2013,1/31/2022,January,Monday,14
266,Leshia Sanderson,9/27/2013,9/27/2022,September,Tuesday,12
267,Tiffy Glanz,6/15/2015,6/15/2022,June,Wednesday,15
268,Kizzie Dod,10/5/2014,10/5/2022,October,Wednesday,13
269,Madlen Lethardy,3/18/2014,3/18/2022,March,Friday,31
270,Estella Brende,2/16/2014,2/16/2022,February,Wednesday,8
271,Grover Barstock,8/15/2013,8/15/2022,August,Monday,12
272,Amalee Marquiss,12/15/2011,12/15/2022,December,Thursday,20
273,Megan Blyth,4/22/2012,4/22/2022,April,Friday,55
274,Willette Fibbit,12/2/2013,12/2/2022,December,Friday,45
275,Calida Dymond,8/11/2015,8/11/2022,August,Thursday,10
276,Aharon Ricardin,3/2/2013,3/2/2022,March,Wednesday,6
277,Maurits Petyanin,12/25/2013,12/25/2022,December,Friday,45
278,Ermanno Polglaze,8/24/2013,8/24/2022,August,Wednesday,10
279,Ancell Borrel,4/24/2012,4/24/2022,April,Friday,55
280,Keven Latchford,9/5/2013,9/5/2022,September,Monday,7
281,Rona Hammill,10/25/2011,10/25/2022,October,Tuesday,9
282,Evita Sirett,3/13/2014,3/13/2022,March,Friday,31
283,Lorry Sarle,5/29/2015,5/29/2022,May,Friday,31
284,Kate Fannon,2/27/2014,2/27/2022,February,Friday,31
285,Paulina Vale,11/23/2014,11/23/2022,November,Wednesday,17
286,Earl Kelleway,11/6/2013,11/6/2022,November,Friday,39
287,Culver Daburn,5/11/2014,5/11/2022,May,Wednesday,8
288,Antonie Worcester,2/15/2015,2/15/2022,February,Tuesday,13
289,Magda Cullrford,2/4/2012,2/4/2022,February,Friday,31
290,Jeremiah Diack,4/27/2012,4/27/2022,April,Wednesday,12
291,Lynett Dibdin,6/8/2012,6/8/2022,June,Wednesday,15
292,Trace Neenan,9/20/2011,9/20/2022,September,Tuesday,12
293,Miran Gowans,1/8/2015,1/8/2022,January,Friday,33
294,Orsa Orrey,7/30/2015,7/30/2022,July,Friday,49
295,Gillie Bermingham,6/23/2014,6/23/2022,June,Thursday,12
296,Mikaela Madgwick,12/5/2012,12/5/2022,December,Monday,20
297,Maximo Greenin,4/7/2013,4/7/2022,April,Thursday,11
298,Daron Fellis,5/11/2013,5/11/2022,May,Wednesday,8
299,Dorothea Haselwood,4/23/2014,4/23/2022,April,Friday,55
300,Pernell Howgego,11/25/2013,11/25/2022,November,Friday,39
301,Jaimie Bebbell,3/22/2013,3/22/2022,March,Tuesday,13
302,Rici Dohms,4/9/2013,4/9/2022,April,Friday,55
303,Oralla Braffington,9/1/2011,9/1/2022,September,Thursday,14
304,Elisa Whiteley,9/5/2014,9/5/2022,September,Monday,7
305,Emalia Kynson,5/15/2015,5/15/2022,May,Friday,31
306,Kakalina Standbrook,7/23/2012,7/23/2022,July,Friday,49
307,Billy Dionis,12/12/2013,12/12/2022,December,Monday,20
308,Kit Fishbourn,4/1/2014,4/1/2022,April,Friday,55
309,Sayer Romain,4/11/2014,4/11/2022,April,Monday,10
310,Welby Dymott,4/15/2012,4/15/2022,April,Friday,55
311,Darci Brozsset,12/31/2012,12/31/2022,December,Friday,45
312,Emelyne Pierro,8/14/2012,8/14/2022,August,Friday,24
313,Afton Ninotti,12/16/2013,12/16/2022,December,Friday,45
314,Sofie Duinbleton,8/28/2015,8/28/2022,August,Friday,24
315,Franciskus Brittles,1/25/2013,1/25/2022,January,Tuesday,12
316,Darline Glandon,9/11/2013,9/11/2022,September,Friday,36
317,Adara Beringer,9/1/2011,9/1/2022,September,Thursday,14
318,Maddie Kennard,4/15/2015,4/15/2022,April,Friday,55
319,Bobbe Rangall,1/22/2015,1/22/2022,January,Friday,33
320,Osgood Darnborough,7/20/2013,7/20/2022,July,Wednesday,19
321,Cory Shackle,7/31/2012,7/31/2022,July,Friday,49
322,Denna Bulluck,10/20/2011,10/20/2022,October,Thursday,14
323,Jocelin Slora,9/11/2012,9/11/2022,September,Friday,36
324,Woodman Cockman,12/9/2012,12/9/2022,December,Friday,45
325,Wain Jime,12/20/2011,12/20/2022,December,Tuesday,8
326,Twila Bradmore,10/1/2014,10/1/2022,October,Friday,32
327,Marcus Lemery,11/26/2012,11/26/2022,November,Friday,39
328,Alia Whayman,7/6/2015,7/6/2022,July,Wednesday,19
329,Maximilien Shipcott,10/20/2014,10/20/2022,October,Thursday,14
330,Robina Exroll,6/1/2015,6/1/2022,June,Wednesday,15
331,Walt De Ferraris,3/31/2012,3/31/2022,March,Thursday,19
332,Alf Stiff,10/4/2014,10/4/2022,October,Tuesday,9
333,Vernon Yateman,2/12/2012,2/12/2022,February,Friday,31
334,Von Kearton,6/23/2015,6/23/2022,June,Thursday,12
335,Dacie Hunnam,5/16/2014,5/16/2022,May,Monday,7
336,Silvie Lepere,2/24/2012,2/24/2022,February,Thursday,12
337,Thorpe Trudgion,7/8/2015,7/8/2022,July,Friday,49
338,Lucais Hyrons,11/11/2013,11/11/2022,November,Friday,39
339,Matthieu Hoyer,9/4/2012,9/4/2022,September,Friday,36
340,Reine Djorvic,12/8/2013,12/8/2022,December,Thursday,20
341,Saree Farquhar,3/28/2013,3/28/2022,March,Monday,8
342,Sallyann Tawse,7/10/2014,7/10/2022,July,Friday,49
343,Victor Stonham,1/25/2013,1/25/2022,January,Tuesday,12
344,Corella Thumnel,5/14/2015,5/14/2022,May,Friday,31
345,Andy Philipard,6/12/2015,6/12/2022,June,Friday,30
346,Idette Bande,5/4/2014,5/4/2022,May,Wednesday,8
347,Allyn Wheldon,12/21/2014,12/21/2022,December,Wednesday,9
348,Leslie Rontree,7/17/2013,7/17/2022,July,Friday,49
349,Bibbie Bortolomei,11/14/2012,11/14/2022,November,Monday,11
350,Bartolemo Cleave,2/12/2013,2/12/2022,February,Friday,31
351,Korry Leirmonth,2/10/2012,2/10/2022,February,Thursday,12
352,Aridatha Bonicelli,11/3/2011,11/3/2022,November,Thursday,13
353,Twila Grinley,12/3/2013,12/3/2022,December,Friday,45
354,Lettie Pennyman,7/19/2012,7/19/2022,July,Tuesday,12
355,Blake MacIlhargy,8/21/2014,8/21/2022,August,Friday,24
356,Daniele McCloy,7/11/2013,7/11/2022,July,Monday,11
357,Felizio Weinmann,11/29/2011,11/29/2022,November,Tuesday,12
358,Ilsa Tettley,9/11/2013,9/11/2022,September,Friday,36
359,Ardyce Meriton,7/23/2012,7/23/2022,July,Friday,49
360,Shandee Scard,11/21/2014,11/21/2022,November,Monday,11
361,Cristionna Hegden,7/3/2015,7/3/2022,July,Friday,49
362,Mignonne Dumsday,5/29/2015,5/29/2022,May,Friday,31
363,Raynell Behneke,12/24/2014,12/24/2022,December,Friday,45
364,Adina Gawthorpe,2/15/2013,2/15/2022,February,Tuesday,13
365,Sheff De Andreis,10/12/2013,10/12/2022,October,Wednesday,13
366,Mab Canepe,12/11/2011,12/11/2022,December,Friday,45
367,Dynah Petrillo,8/16/2013,8/16/2022,August,Tuesday,15
368,Leroi Crumpe,5/6/2012,5/6/2022,May,Friday,31
369,Lynnett Gierardi,12/13/2013,12/13/2022,December,Tuesday,8
370,Winny Scoggans,3/29/2012,3/29/2022,March,Tuesday,13
371,Shirlene Palluschek,6/10/2012,6/10/2022,June,Friday,30
372,Zarah Symington,1/1/2012,1/1/2022,January,Friday,33
373,Bernete Westoff,10/2/2014,10/2/2022,October,Friday,32
374,Marlowe Daniell,3/3/2014,3/3/2022,March,Thursday,19
375,Berkly Stanett,3/27/2015,3/27/2022,March,Friday,31
376,Dominga Peat,2/15/2014,2/15/2022,February,Tuesday,13
377,Karlotte Vaudre,10/3/2011,10/3/2022,October,Monday,14
378,Carmelina Ashbridge,9/8/2012,9/8/2022,September,Thursday,14
379,Ricardo Barmby,11/20/2014,11/20/2022,November,Friday,39
380,Alyson Lindsell,7/6/2012,7/6/2022,July,Wednesday,19
381,Valentine McPherson,3/4/2012,3/4/2022,March,Friday,31
382,Analiese Bliven,11/7/2013,11/7/2022,November,Monday,11
383,Nathanial Matczak,8/27/2013,8/27/2022,August,Friday,24
384,Lanny Alyukin,11/10/2012,11/10/2022,November,Thursday,13
385,Emmott Barnaby,11/5/2014,11/5/2022,November,Friday,39
386,Trudey Skarman,6/5/2014,6/5/2022,June,Friday,30
387,Daloris Skillicorn,12/9/2013,12/9/2022,December,Friday,45
388,Ranna Eagland,8/29/2013,8/29/2022,August,Monday,12
389,Amitie McGairl,2/12/2015,2/12/2022,February,Friday,31
390,Karissa Dickon,12/3/2012,12/3/2022,December,Friday,45
391,Laural Hexum,9/6/2012,9/6/2022,September,Tuesday,12
392,Quinlan Franckton,12/26/2014,12/26/2022,December,Monday,20
393,Anissa Semerad,1/10/2013,1/10/2022,January,Monday,14
394,Aland Ashlee,7/13/2012,7/13/2022,July,Wednesday,19
395,Chickie Asch,12/12/2012,12/12/2022,December,Monday,20
396,Linda Haberjam,10/6/2011,10/6/2022,October,Thursday,14
397,Ad Falco,7/17/2013,7/17/2022,July,Friday,49
398,Care Reihill,5/3/2013,5/3/2022,May,Tuesday,15
399,Odelia Bayston,12/19/2011,12/19/2022,December,Monday,20
400,Tedi Nekrews,3/3/2013,3/3/2022,March,Thursday,19
401,Adore Rowan,4/30/2012,4/30/2022,April,Friday,55
402,Thorn Blencowe,2/19/2014,2/19/2022,February,Friday,31
403,Prudy Duetsche,8/1/2015,8/1/2022,August,Monday,12
404,Ariana Shearmer,4/20/2015,4/20/2022,April,Wednesday,12
405,Karoline Gash,6/6/2012,6/6/2022,June,Monday,9
406,Liam Sings,12/15/2012,12/15/2022,December,Thursday,20
407,Denise Huckleby,10/1/2012,10/1/2022,October,Friday,32
408,Truda Welband,1/4/2014,1/4/2022,January,Tuesday,12
